 ,Mean,Min,Max,Median,Ch,Frame,Length
1,5074.183,3561,8662,4872.0,1,1,81.781
2,5044.406,3612,8764,4839.0,1,2,81.781
3,3725.981,3213,4710,3704.0,1,3,82.364
4,3740.235,3241,4658,3725.0,1,4,82.364
5,3767.607,3207,4738,3735.0,1,5,82.364
6,3773.771,3238,4659,3752.0,1,6,82.364
7,3792.051,3277,4692,3771.0,1,7,85.05
8,3822.487,3180,5069,3803.0,1,8,85.05
9,3843.706,3064,4887,3820.0,1,9,85.05
10,3863.016,3216,5281,3846.0,1,10,85.05
11,3865.965,3151,5233,3833.0,1,11,85.05
12,3906.187,3069,5352,3876.0,1,12,85.05
13,3891.038,3202,5230,3860.0,1,13,85.05
14,3914.096,3246,5258,3887.0,1,14,85.05
15,3935.84,3094,5007,3899.0,1,15,85.05
16,3942.546,3234,5239,3909.0,1,16,85.05
17,3955.63,3127,5370,3905.0,1,17,85.05
18,3980.902,3231,5243,3936.0,1,18,85.05
19,3978.735,3277,5446,3933.0,1,19,85.05
20,3987.504,3228,5531,3952.0,1,20,85.05
21,3978.664,3246,5508,3922.0,1,21,85.05
22,4002.756,3201,5308,3946.0,1,22,85.05
23,3997.28,3282,5271,3953.0,1,23,85.05
24,4008.317,3185,5218,3956.0,1,24,85.05
25,4058.692,3125,5826,3996.0,1,25,85.05
26,4070.552,3297,5841,4011.0,1,26,85.05
27,4082.891,3339,5939,4019.0,1,27,85.05
28,4125.057,3362,5628,4069.0,1,28,85.05
29,4126.509,3262,5833,4053.0,1,29,85.05
30,4121.921,3356,5566,4062.0,1,30,85.05
31,4104.348,3202,5929,4033.0,1,31,85.05
32,4118.06,3231,5682,4034.0,1,32,85.05
33,4094.649,3326,5882,4024.0,1,33,85.05
34,4090.152,3321,5831,4014.0,1,34,85.05
35,4085.323,3311,5713,4023.0,1,35,85.05
36,4068.599,3301,6025,3992.0,1,36,85.05
37,4069.661,3242,5644,4015.0,1,37,85.05
38,4037.861,3355,5299,3989.0,1,38,85.05
39,4025.459,3316,5434,3983.0,1,39,85.05
40,3988.482,3319,5110,3949.0,1,40,85.05
41,3999.904,3281,5462,3965.0,1,41,85.05
42,3970.634,3145,5390,3933.0,1,42,85.05
43,3988.769,3335,5344,3945.0,1,43,85.05
44,3985.386,3308,5302,3948.0,1,44,85.05
45,3958.7,3288,5089,3925.0,1,45,85.05
46,3972.961,3115,5132,3936.0,1,46,85.05
47,3990.459,3278,5170,3950.0,1,47,85.05
48,3990.742,3224,5486,3972.0,1,48,85.05
49,3981.437,3228,5559,3948.0,1,49,85.05
50,3960.562,3302,5282,3910.0,1,50,85.05
51,3986.14,3339,5179,3967.0,1,51,81.591
52,3958.752,3287,5476,3929.5,1,52,81.591
53,3992.891,3247,5223,3951.0,1,53,81.591
54,3982.695,3268,4999,3956.0,1,54,81.591
55,3962.561,3319,6024,3928.0,1,55,81.591
56,3975.038,3303,5166,3947.0,1,56,81.591
57,3990.796,3268,5159,3949.5,1,57,81.591
58,3970.038,3321,5194,3923.0,1,58,81.591
59,4004.884,3259,5101,3962.5,1,59,81.591
60,4001.562,3235,5386,3971.0,1,60,81.591
61,4006.667,3258,5380,3974.5,1,61,81.591
62,4000.948,3238,5468,3964.5,1,62,81.591
63,4009.918,3252,5217,3998.5,1,63,81.591
64,3988.599,3303,5229,3961.5,1,64,81.591
65,3962.007,3217,5218,3935.0,1,65,81.591
66,3984.748,3291,5665,3961.0,1,66,81.591
67,4063.353,3236,5226,4033.0,1,67,81.591
68,4049.588,3337,5598,4024.0,1,68,81.591
69,4035.473,3272,5387,3983.0,1,69,81.591
70,4064.562,3261,5588,4021.5,1,70,81.591
71,4073.944,3250,5765,4055.0,1,71,81.591
72,4056.687,3369,5487,4009.0,1,72,81.591
73,4046.82,3234,5252,3998.0,1,73,81.591
74,4033.827,3281,5234,3988.0,1,74,81.591
75,4068.878,3249,5541,4020.5,1,75,81.591
76,4041.852,3268,5548,4006.0,1,76,81.591
77,4047.18,3256,6060,3992.5,1,77,81.591
78,4038.914,3323,5529,3990.5,1,78,81.591
79,4052.128,3323,5315,4017.0,1,79,81.591
80,4029.165,3225,5678,3986.0,1,80,81.591
81,4028.253,3248,5646,3985.5,1,81,81.591
82,4020.455,3255,5467,3965.0,1,82,81.591
83,4008.333,3218,5573,3954.0,1,83,81.591
84,4025.315,3290,5524,3976.5,1,84,80.698
85,4037.04,3262,5445,3990.0,1,85,80.698
86,4014.461,3271,5513,3967.5,1,86,80.698
87,4012.344,3262,5395,3973.0,1,87,80.698
88,4061.302,3293,5904,4009.0,1,88,76.403
89,4019.406,3327,5711,3956.0,1,89,77.982
90,4004.85,3212,5388,3942.0,1,90,77.982
