 ,Mean,Min,Max,Median,Ch,Frame,Length
110,3511.980,3148,4244,3500.500,1,110,131.187
111,3506.861,3140,4328,3493.000,1,111,131.187
112,3510.100,3114,4164,3498.000,1,112,131.187
113,3493.937,3114,4186,3479.000,1,113,131.187
114,3489.794,3112,4127,3477.000,1,114,131.213
115,3499.695,3110,3898,3490.000,1,115,131.213
116,3496.397,3145,4157,3490.000,1,116,136.400
117,3506.403,3096,4159,3494.000,1,117,136.400
118,3503.127,3147,4033,3494.000,1,118,136.400
119,3520.547,3156,4302,3511.000,1,119,136.400
120,3499.020,3082,4187,3489.000,1,120,136.400
121,3528.639,3084,4067,3511.000,1,121,127.771
122,3521.576,3050,4177,3504.000,1,122,127.771
123,3541.228,3147,4155,3527.000,1,123,128.686
124,3523.951,3139,4416,3509.500,1,124,128.686
125,3519.747,3187,4192,3504.000,1,125,128.686
126,3512.552,3077,4402,3500.000,1,126,128.686
127,3520.039,3137,4194,3503.000,1,127,128.686
128,3512.981,3158,4196,3499.500,1,128,128.686
129,3517.017,3140,4207,3500.000,1,129,128.686
130,3513.268,3151,4226,3498.000,1,130,128.686
131,3508.721,3094,4235,3496.000,1,131,128.686
132,3512.415,3150,4314,3498.500,1,132,128.686
133,3528.559,3123,4173,3516.000,1,133,128.686
134,3518.314,3183,4276,3499.500,1,134,128.686
135,3539.394,3160,4330,3519.000,1,135,128.686
136,3526.599,3105,4221,3507.500,1,136,128.686
137,3525.290,3166,4094,3514.000,1,137,128.686
138,3542.215,3126,4177,3532.500,1,138,128.686
139,3550.951,3195,4167,3536.000,1,139,128.686
140,3553.063,3176,4299,3545.000,1,140,128.686
141,3544.203,3148,4111,3534.000,1,141,128.686
142,3541.028,3148,4383,3525.000,1,142,128.686
143,3530.691,3162,4161,3515.000,1,143,128.686
144,3526.861,3053,4200,3512.000,1,144,128.686
145,3544.212,3108,4267,3533.000,1,145,128.686
146,3551.927,3108,4346,3537.000,1,146,128.686
147,3540.704,3153,4224,3527.000,1,147,130.330
148,3550.550,3144,4167,3539.500,1,148,130.330
149,3537.658,3162,4063,3528.000,1,149,130.330
150,3553.963,3180,4185,3537.000,1,150,130.330
151,3536.001,3182,4194,3534.000,1,151,123.867
152,3535.314,3084,4058,3524.000,1,152,123.867
153,3547.935,3149,4205,3534.000,1,153,123.867
154,3551.887,3142,4212,3540.000,1,154,123.867
155,3547.712,3155,4248,3530.000,1,155,123.867
156,3528.048,3125,4258,3516.000,1,156,123.867
157,3512.664,3144,4124,3503.000,1,157,123.867
158,3536.295,3075,4466,3522.000,1,158,123.867
159,3555.206,3147,4344,3539.500,1,159,123.573
160,3548.078,3161,4314,3528.500,1,160,123.573
161,3562.219,3178,4311,3540.000,1,161,123.573
162,3557.518,3142,4351,3539.000,1,162,123.573
163,3559.319,3108,4447,3544.000,1,163,123.573
164,3573.228,3105,4350,3566.000,1,164,123.573
165,3570.595,3141,4319,3556.500,1,165,123.573
166,3567.594,3189,4228,3546.000,1,166,123.573
167,3566.179,3119,4411,3548.000,1,167,123.573
168,3562.006,3063,4553,3542.000,1,168,123.573
169,3570.305,3183,4347,3550.000,1,169,123.573
170,3555.447,3122,4344,3539.000,1,170,121.843
171,3579.875,3146,4436,3562.000,1,171,121.843
172,3558.270,3088,4524,3539.500,1,172,121.843
173,3582.602,3138,4275,3566.000,1,173,119.766
174,3589.829,3177,4461,3564.000,1,174,119.766
175,3584.965,3177,4226,3570.000,1,175,119.766
176,3619.198,3121,4419,3601.000,1,176,121.800
177,3580.296,3123,4406,3567.500,1,177,121.800
178,3583.313,3146,4468,3571.000,1,178,121.800
179,3586.621,3136,4253,3568.000,1,179,121.800
180,3566.146,3183,4302,3542.000,1,180,121.800
